"Infosys Q2 beats estimates with 14.4% profit growth; company raises full year revenue, margin guidance",https://www.moneycontrol.com/news/results/infosys-q2-beats-estimates144-profit-growth-company-raises-full-year-revenue-margin-guidance_14365961.html,14 Oct 2020,4.15 pm
Infosys share price dips 2% ahead of Q2 earnings,https://www.moneycontrol.com/news/buzzing-stocks/infosys-share-price-dips-2-aheadq2-earnings_14364701.html,14 Oct 2020,10.11 am
"Infosys Q2 preview: Dollar revenue growth seen around 4% on large deals, recovery in BFSI",https://www.moneycontrol.com/news/result-poll/infosys-q2-preview-dollar-revenue-growth-seen-around-4large-deals-recoverybfsi_14364101.html,14 Oct 2020,7.35 am
Buy Infosys; target of Rs 1300: Sharekhan,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1300-sharekhan_14361381.html,13 Oct 2020,11.05 am
Quant Pick - Infosys: ICICI Direct,https://www.moneycontrol.com/news/recommendations/quant-pick-infosys-icici-direct_14242521.html,03 Sep 2020,4.18 pm
Buy Infosys; target of Rs 1018: Geojit,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1018-geojit_14063721.html,21 Jul 2020,6.00 pm
Buy Infosys; target of Rs 1000: ICICI Direct,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1000-icici-direct_14057281.html,20 Jul 2020,1.15 pm
Buy Infosys ; target of Rs 1050: Motilal Oswal,https://www.moneycontrol.com/news/recommendations/buy-infosystargetrs-1050-motilal-oswal_14056601.html,20 Jul 2020,12.14 pm
Accumulate Infosys; target of Rs 900: Dolat Capital,https://www.moneycontrol.com/news/recommendations/accumulate-infosys-targetrs-900-dolat-capital_14056081.html,20 Jul 2020,11.27 am
Buy Infosys; target of Rs 1037: Prabhudas Lilladher,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1037-prabhudas-lilladher_14051621.html,18 Jul 2020,5.00 pm
Buy Infosys; target of Rs 920: Sharekhan,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-920-sharekhan_14051321.html,18 Jul 2020,4.07 pm
"Infosys Standalone June 2020 Net Sales at Rs 20,325.00 crore, up 6.24% Y-o-Y",https://www.moneycontrol.com/news/results/infosys-standalone-june-2020-net-sales-at-rs-2032500-crore624-y-o-y_14043661.html,16 Jul 2020,9.25 am
"Infosys Consolidated June 2020 Net Sales at Rs 23,665.00 crore, up 8.54% Y-o-Y",https://www.moneycontrol.com/news/results/infosys-consolidated-june-2020-net-sales-at-rs-2366500-crore854-y-o-y_14043481.html,16 Jul 2020,9.25 am
Infosys to acquire Blue Acorn iCi for up to $125 million,https://www.moneycontrol.com/news/business/infosys-to-acquire-blue-acorn-ici-forto-36125-million_14348861.html,08 Oct 2020,6.05 pm
"Looking for a job? There are 93,500 openings in this field",https://www.moneycontrol.com/news/business/looking-forjob-there93500-openingsthis-field_14344921.html,07 Oct 2020,5.23 pm
"Trade Spotlight: TCS, Wipro and Infosys in focus as they hit 52-week high",https://www.moneycontrol.com/news/market-outlook/trade-spotlight-tcs-wiproinfosysfocus-as-they-hit-52-week-high_14339301.html,06 Oct 2020,8.23 am
"JM Financial expects IT stocks to remain resiliant; Infosys, HCL Tech, TechM top picks",https://www.moneycontrol.com/news/it/jm-financial-expects-it-stocks-to-remain-resiliant-infosys-hcl-tech-techm-top-picks_14326161.html,01 Oct 2020,12.16 pm
Indian IT firms should focus on proactive problem recognition and solution mindset: Narayana Murthy,https://www.moneycontrol.com/news/business/indian-it-firms-should-focusproactive-problem-recognitionsolution-mindset-narayana-murthy_14296201.html,21 Sep 2020,5.39 pm
Analysts prefer these 5 IT stocks ahead of Q2 earnings,https://www.moneycontrol.com/news/market-edge/analysts-prefer5-it-stocks-aheadq2-earnings_14292041.html,20 Sep 2020,1.41 pm
Infosys to announce Q2 results on October 14,https://www.moneycontrol.com/news/business/infosys-to-announce-q2-resultsoctober-14_14278981.html,15 Sep 2020,7.50 pm
Infosys to acquire GuideVision for up to 30 million euros,https://www.moneycontrol.com/news/business/infosys-to-acquire-guidevision-forto-30-million-euros_14272441.html,14 Sep 2020,11.41 am
Infosys shares rise 4% on acquisition of GuideVision,https://www.moneycontrol.com/news/buzzing-stocks/infosys-shares-rise-4acquisitionguidevision_14272261.html,14 Sep 2020,11.37 am
India's secondary listing plan for firms joining foreign markets irks investors,https://www.moneycontrol.com/news/business/india39s-secondary-listing-plan-for-firms-joining-foreign-markets-irks-investors_14268801.html,12 Sep 2020,4.11 pm
Tech trade group urges India not to accept draft report on non-personal data governance,https://www.moneycontrol.com/news/business/tech-trade-group-urges-india-not-to-accept-draft-reportnon-personal-data-governance_14259321.html,09 Sep 2020,1.41 pm
Infosys acquires US-based Kaleidoscope Innovation for $42 million,https://www.moneycontrol.com/news/business/infosys-acquires-us-based-kaleidoscope-innovation-for-3642-million_14243521.html,03 Sep 2020,8.59 pm
"Infosys to hire 12,000 more in the US by 2022",https://www.moneycontrol.com/news/business/infosys-to-hire-12000-morethe-us-by-2022_14237001.html,01 Sep 2020,8.14 pm
Infosys inks 5-year pact with Genesys ,https://www.moneycontrol.com/news/business/infosys-inks-5-year-pactgenesys,27 Aug 2020,12.13 pm
"FIIs pare stake in 30 stocks with m-cap of over Rs 50,000 crore; time to turn cautious?",https://www.moneycontrol.com/news/market-outlook/fiis-pare-stake30-stocksm-capover-rs-50000-crore-time-to-turn-cautious_14217321.html,26 Aug 2020,2.13 pm
Experts bet on these 18 stocks after Q1 earnings; do you own any?,https://www.moneycontrol.com/news/market-edge/experts-betthese-18-stocks-after-q1-earnings-do-you-own-any_14208921.html,24 Aug 2020,2.27 pm
Top 8 AMCs have these 4 largecaps in their portfolio; do you own any?,https://www.moneycontrol.com/news/market-edge/top-8-amcs-have4-largecapstheir-portfolio-do-you-own-any_14193201.html,19 Aug 2020,11.59 am
"Independence Day advice: Focus on businesses least hit by COVID, these 5 sectors are a good investment",https://www.moneycontrol.com/news/market-outlook/independence-day-advice-focusbusinesses-least-hit-by-covid5-sectors-aregood-investment_14172621.html,14 Aug 2020,1.31 pm
Infosys share rises 1% on order from National Bank of Bahrain,https://www.moneycontrol.com/news/buzzing-stocks/infosys-share-rises-1ordernational-bankbahrain_14119621.html,04 Aug 2020,9.31 am
Apr-Jun earnings reports: The winners and losers of the ‘new normal’,https://www.moneycontrol.com/news/business/apr-jun-earnings-reports-the-winnerslosersthe-‘new-normal’_14114141.html,03 Aug 2020,11.32 am
Infosys selected by Consolidated Edison to digitally transform customer service,https://www.moneycontrol.com/news/business/infosys-selected-by-consolidated-edison-to-digitally-transform-customer-service_14087061.html,27 Jul 2020,4.45 pm
